"","satfin","income16","new_income_range"
"3089","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"3090","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"3091","Not satisfied at all","$170000 OR OVER","90 000 to 170 000"
"3092","Pretty well satisfied","$8 000 TO 9 999","0 to 9 999"
"3093","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"3094","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"3095","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"3096","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"3097","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"3098","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"3099","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"3100","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"3101","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"3102","Pretty well satisfied","$15000 TO 17499","10 000 to 19 999"
"3103","Pretty well satisfied","$15000 TO 17499","10 000 to 19 999"
"3104","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"3105","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"3106","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"3107","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"3108","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"3109","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"3110","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"3111","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"3112","Not satisfied at all","$110000 TO $129999","90 000 to 170 000"
"3113","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"3114","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"3115","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"3116","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"3117","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"3118","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"3119","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"3120","More or less satisfied","$1 000 TO 2 999","0 to 9 999"
"3121","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"3122","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"3123","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"3124","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"3125","Not satisfied at all","$1 000 TO 2 999","0 to 9 999"
"3126","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"3127","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"3128","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"3129","Not satisfied at all","UNDER $1 000","0 to 9 999"
"3130","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"3131","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"3132","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"3133","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"3134","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"3135","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"3136","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"3137","Not satisfied at all","UNDER $1 000","0 to 9 999"
"3138","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"3139","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"3140","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"3141","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"3142","Pretty well satisfied","UNDER $1 000","0 to 9 999"
"3143","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"3144","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"3145","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"3146","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"3147","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"3148","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"3149","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"3150","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"3151","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"3152","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"3153","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"3154","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"3155","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"3156","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"3157","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"3158","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"3159","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"3160","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"3161","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"3162","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"3163","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"3164","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"3165","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"3166","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"3167","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"3168","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"3169","Not satisfied at all","$130000 TO $149999","90 000 to 170 000"
"3170","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"3171","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"3172","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"3173","More or less satisfied","$3 000 TO 3 999","0 to 9 999"
"3174","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"3175","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"3176","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"3177","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"3178","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"3179","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"3180","More or less satisfied","$1 000 TO 2 999","0 to 9 999"
"3181","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"3182","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"3183","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"3184","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"3185","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"3186","More or less satisfied","$1 000 TO 2 999","0 to 9 999"
"3187","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"3188","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"3189","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"3190","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"3191","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"3192","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"3193","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"3194","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"3195","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"3196","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"3197","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"3198","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"3199","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"3200","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"3201","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"3202","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"3203","More or less satisfied","UNDER $1 000","0 to 9 999"
"3204","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"3205","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"3206","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"3207","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"3208","Not satisfied at all","$170000 OR OVER","90 000 to 170 000"
"3209","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"3210","Not satisfied at all","$7 000 TO 7 999","0 to 9 999"
"3211","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"3212","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"3213","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"3214","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"3215","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"3216","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"3217","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"3218","More or less satisfied","UNDER $1 000","0 to 9 999"
"3219","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"3220","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"3221","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"3222","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"3223","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"3224","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"3225","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"3226","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"3227","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"3228","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"3229","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"3230","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"3231","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"3232","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"3233","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"3234","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"3235","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"3236","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"3237","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"3238","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"3239","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"3240","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"3241","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"3242","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"3243","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"3244","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"3245","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"3246","Not satisfied at all","$110000 TO $129999","90 000 to 170 000"
"3247","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"3248","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"3249","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"3250","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"3251","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"3252","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"3253","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"3254","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"3255","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"3256","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"3257","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"3258","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"3259","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"3260","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"3261","Pretty well satisfied","$17500 TO 19999","10 000 to 19 999"
"3262","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"3263","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"3264","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"3265","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"3266","Pretty well satisfied","$15000 TO 17499","10 000 to 19 999"
"3267","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"3268","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"3269","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"3270","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"3271","Pretty well satisfied","$25000 TO 29999","20 000 to 39 999"
"3272","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"3273","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"3274","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"3275","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"3276","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"3277","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"3278","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"3279","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"3280","More or less satisfied","UNDER $1 000","0 to 9 999"
"3281","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"3282","Not satisfied at all","$7 000 TO 7 999","0 to 9 999"
"3283","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"3284","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"3285","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"3286","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"3287","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"3288","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"3289","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"3290","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"3291","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"3292","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"3293","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"3294","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"3295","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"3296","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"3297","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"3298","Not satisfied at all","UNDER $1 000","0 to 9 999"
"3299","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"3300","Not satisfied at all","UNDER $1 000","0 to 9 999"
"3301","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"3302","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"3303","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"3304","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"3305","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"3306","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"3307","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"3308","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"3309","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"3310","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"3311","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"3312","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"3313","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"3314","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"3315","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"3316","Not satisfied at all","$5 000 TO 5 999","0 to 9 999"
"3317","Pretty well satisfied","$6 000 TO 6 999","0 to 9 999"
"3318","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"3319","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"3320","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"3321","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"3322","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"3323","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"3324","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"3325","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"3326","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"3327","More or less satisfied","$1 000 TO 2 999","0 to 9 999"
"3328","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"3329","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"3330","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
